Player,Team,Position,GS,MIN,PPG,RPG,APG,FGM,FGA,FG%,3PM,3PA
De'Aaron Fox,SAC,PG,74,35.9,26.6,4.6,5.6,9.7,20.9,46.5,2.9,7.8
Domantas Sabonis,SAC,C,82,35.7,19.4,13.7,8.2,7.7,13,59.4,0.4,1.1
Harrison Barnes,SAC,PF,82,29,12.2,3,1.2,4.2,8.9,47.4,1.8,4.7
Keegan Murray,SAC,SF,77,33.6,15.2,5.5,1.7,5.8,12.7,45.4,2.4,6.6
Kevin Huerter,SAC,SG,64,24.4,10.2,3.5,2.6,3.9,8.8,44.3,1.9,5.3
Devin Vassell,SAS,SG,62,33.1,19.5,3.8,4.1,7.3,15.5,47.2,2.4,6.6
Jeremy Sochan,SAS,PF,73,29.6,11.6,6.4,3.4,4.6,10.5,43.8,0.9,3.1
Julian Champagnie,SAS,SF,59,19.8,6.8,2.8,1.4,2.2,5.4,40.8,1.4,3.7
Tre Jones,SAS,PG,65,29.2,11.3,3.5,6,4.2,9.5,44.2,0.8,2.4
Victor Wembanyama,SAS,C,71,29.7,21.4,10.6,3.9,7.8,16.7,46.5,1.8,5.5
Immanuel Quickley,TOR,PG,68,29.2,17,3.8,4.9,5.7,13.1,43.4,2.5,6.4
Jakob Poeltl,TOR,C,50,26.4,11.1,8.6,2.5,5,7.6,65.6,0,0
OG Anunoby,TOR,SF,27,33.3,15.1,3.9,2.7,5.8,11.9,48.9,2.3,6
Pascal Siakam,TOR,PF,80,33.2,21.7,7.1,4.3,8.5,15.9,53.6,1.1,3.1
Scottie Barnes,TOR,SG,60,34.9,19.9,8.2,6.1,7.5,15.7,47.5,1.7,4.9
Collin Sexton,UTA,SG,51,26.6,18.7,2.6,4.9,6.5,13.3,48.7,1.6,4.2
John Collins,UTA,PF,66,28,15.1,8.5,1.1,5.8,11,53.2,1.3,3.4
Kevonte George,UTA,PG,51,26.6,18.7,2.6,4.9,6.5,13.3,48.7,1.6,4.2
Lauri Markkanen,UTA,PF,55,33.1,23.2,8.2,2,7.8,16.2,48,3.2,8
Simone Fontecchio,UTA,SF,43,24.9,10.5,3.7,1.5,3.7,8,46,2,5
Walker Kessler,UTA,C,40,23.3,8.1,7.5,0.9,3.6,5.5,65.4,0.1,0.3
Daniel Gafford,WAS,C,50,21,12.3,6.7,1.2,5.5,7.6,72.5,0,0
Deni Avdija,WAS,SF,82,30.1,14.7,7.2,3.8,5.4,10.7,50.6,1.2,3.1
Jordan Poole,WAS,SG,78,30.1,17.4,2.7,4.4,6.3,15.2,41.3,2.4,7.2
Kyle Kuzma,WAS,PF,70,32.6,22.2,6.6,4.2,8.7,18.8,46.3,2.2,6.4
Tyus Jones,WAS,PG,66,29.3,12,2.7,7.3,4.9,10.1,48.9,1.6,3.9
